4 195 196 125 213
4 131 196 201 213
4 131 125 196 213
4 191 200 198 202
4 110 197 103 210
4 195 201 196 213
4 142 141 121 65
4 196 200 191 203
4 199 201 191 205
4 201 205 199 211
4 192 197 95 202
4 205 211 201 213
4 191 203 192 205
4 125 195 155 196
4 88 197 192 217
4 88 95 192 197
4 191 201 199 219
4 64 108 194 198
4 75 151 193 206
4 103 197 204 210
4 191 200 196 219
4 110 103 197 215
4 191 197 199 205
4 197 205 192 217
4 119 142 121 194
4 88 192 95 217
4 156 195 125 213
4 84 197 110 210
4 195 191 201 205
4 142 65 121 194
4 193 191 200 203
4 111 110 103 210
4 121 114 119 194
4 192 202 191 205
4 142 141 65 140
4 191 193 200 202
4 69 198 194 200
4 177 122 110 215
4 151 68 75 193
4 65 114 121 194
4 191 195 203 205
4 75 193 60 206
4 187 195 145 213
4 77 194 140 207
4 191 196 195 201
4 109 194 198 204
4 182 211 205 213
4 197 191 199 204
4 103 204 197 215
4 186 112 199 211
4 65 140 77 194
4 109 194 108 198
4 85 197 177 215
4 112 113 102 211
4 80 68 93 193
4 145 195 156 213
4 152 87 214 217
4 185 177 85 197
4 182 199 205 211
4 191 195 196 203
4 193 200 72 206
4 80 60 68 193
4 192 203 148 212
4 140 65 142 194
4 122 118 110 215
4 168 177 185 197
4 174 205 197 217
4 191 202 197 205
4 192 202 95 214
4 102 199 112 211
4 83 177 110 215
4 126 131 125 196
4 109 194 204 209
4 68 151 163 193
4 83 122 110 177
4 187 145 176 213
4 195 205 201 213
4 102 209 199 211
4 80 193 93 208
4 191 202 198 204
4 204 209 194 219
4 84 110 111 210
4 152 214 192 217
4 108 198 79 218
4 60 75 68 193
4 126 125 155 196
4 83 85 177 215
4 192 191 202 203
4 60 193 80 208
4 156 155 125 195
4 192 153 203 214
4 65 74 114 194
4 106 108 79 218
4 196 201 191 219
4 198 202 200 208
4 200 203 196 206
4 68 163 96 193
4 68 96 93 193
4 168 177 197 215
4 193 202 191 203
4 109 198 107 204
4 153 148 192 203
4 57 64 74 194
4 125 144 156 213
4 69 200 194 207
4 176 145 156 213
4 65 77 57 194
